CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
0,Male,19,15000,39,Healthcare,1,4
1,Male,21,35000,81,Engineer,3,3
2,Female,20,86000,6,Engineer,1,1
3,Female,23,59000,77,Lawyer,0,2
4,Female,31,38000,40,Entertainment,2,6
5,Female,22,58000,76,Artist,0,2
6,Female,35,31000,6,Healthcare,1,3
7,Female,23,84000,94,Healthcare,1,3
8,Male,64,97000,3,Engineer,0,3
9,Female,30,98000,72,Artist,1,4
10,Male,67,7000,14,Engineer,1,3
11,Female,35,93000,99,Healthcare,4,4
12,Female,58,80000,15,Executive,0,5
13,Female,24,91000,77,Lawyer,1,1
14,Male,37,19000,13,Doctor,0,1
15,Male,22,51000,79,Healthcare,1,2
16,Female,35,29000,35,Homemaker,9,5
17,Male,20,89000,66,Healthcare,1,6
18,Male,52,20000,29,Entertainment,1,4
19,Female,35,62000,98,Artist,0,1
20,Male,35,96000,35,Homemaker,12,1
21,Male,25,4000,73,Healthcare,3,4
22,Female,46,42000,5,Artist,13,2
23,Male,31,71000,73,Artist,5,2
24,Female,54,67000,14,Executive,1,3
25,Male,29,52000,82,Artist,1,3
26,Female,45,68000,32,Healthcare,9,8
27,Male,35,78000,61,Artist,1,3
28,Female,40,18000,31,Artist,0,1
29,Female,23,20000,87,Artist,5,4
30,Male,60,39000,4,Artist,0,3
31,Female,21,34000,73,Doctor,1,2
32,Male,53,59000,4,Healthcare,1,3
33,Male,18,62000,92,Homemaker,9,7
34,Female,49,91000,14,Lawyer,1,2
35,Female,21,95000,81,Healthcare,3,4
36,Female,42,14000,17,Doctor,5,1
37,Female,30,62000,73,Healthcare,1,5
38,Female,36,9000,26,Artist,8,2
39,Female,20,69000,75,Artist,8,2
40,Female,65,25000,35,Artist,4,1
41,Male,24,85000,92,Healthcare,0,2
42,Male,48,22000,36,Artist,14,3
43,Female,31,33000,61,Artist,1,2
44,Female,49,72000,28,Engineer,8,1
45,Female,24,3000,65,Lawyer,4,2
46,Female,50,52000,55,Artist,0,4
47,Female,27,71000,47,Healthcare,12,1
48,Female,29,78000,42,Healthcare,0,4
49,Female,31,25000,42,Engineer,1,1
50,Female,49,88000,52,Artist,1,2
51,Male,33,97000,60,Artist,1,2
52,Female,31,74000,54,Artist,1,1
53,Male,59,68000,60,Entertainment,0,2
54,Female,50,18000,45,Marketing,1,1
55,Male,47,95000,41,Artist,14,2
56,Female,51,71000,50,Healthcare,9,4
57,Male,69,8000,46,Doctor,8,2
58,Female,27,57000,51,Artist,1,3
59,Male,53,89000,46,Lawyer,1,6
60,Male,70,84000,56,Artist,0,2
61,Male,19,50000,55,Artist,9,2
62,Female,67,50000,52,Lawyer,0,3
63,Female,54,48000,59,Lawyer,1,2
64,Male,63,63000,51,Lawyer,7,2
65,Male,18,9000,59,Entertainment,0,2
66,Female,43,3000,50,Doctor,0,2
67,Female,68,82000,48,Artist,8,4
68,Male,19,81000,59,Artist,0,4
69,Female,32,97000,47,Homemaker,2,2
70,Male,70,91000,55,Healthcare,8,2
71,Female,47,9000,42,Entertainment,8,2
72,Female,60,44000,49,Artist,0,5
73,Female,60,10000,56,Healthcare,8,4
74,Male,59,89000,47,Artist,0,4
75,Male,26,49000,54,Homemaker,0,3
76,Female,45,67000,53,Doctor,0,2
77,Male,40,99000,48,Artist,4,3
78,Female,23,97000,52,Engineer,2,2
79,Female,49,98000,42,,1,1
80,Male,57,52000,51,Healthcare,0,4
81,Male,38,61000,55,Healthcare,6,3
82,Male,67,120000,41,Artist,8,1
83,Female,46,34000,44,Entertainment,8,4
84,Female,21,24000,57,Marketing,1,3
85,Male,48,31000,46,Healthcare,7,5
86,Female,55,11000,58,Artist,0,3
87,Female,22,55000,55,Artist,5,2
88,Female,34,76000,60,Entertainment,7,3
89,Female,50,56000,46,Doctor,0,2
90,Female,68,46000,55,Entertainment,0,3
91,Male,18,36000,41,Artist,1,4
92,Male,48,88000,49,Artist,1,2
93,Female,40,31000,40,Entertainment,1,2
94,Female,32,24000,42,Artist,0,1
95,Male,24,80000,52,Artist,10,1
96,Female,47,2000,47,Artist,0,1
97,Female,27,67000,50,Artist,0,2
98,Male,48,58000,42,Doctor,1,2
99,Male,20,80000,49,Engineer,3,3
100,Female,23,65000,41,Artist,0,4
101,Female,49,4000,48,Executive,1,7
102,Male,67,98000,59,Artist,0,3
103,Male,26,52000,55,Executive,0,5
104,Male,49,86000,56,Healthcare,10,2
105,Female,21,82000,42,Doctor,1,2
106,Female,66,43000,50,Homemaker,3,2
107,Male,54,78000,46,Lawyer,1,1
108,Male,68,13000,43,Healthcare,6,5
109,Male,66,13000,48,Healthcare,9,3
110,Male,65,34000,52,Entertainment,4,4
111,Female,19,25000,54,Artist,0,1
112,Female,38,71000,42,Doctor,1,5
113,Male,19,2000,46,Artist,1,1
114,Female,18,97000,48,Executive,0,3
115,Female,19,51000,50,Executive,8,4
116,Female,63,9000,43,Lawyer,1,1
117,Female,49,79000,59,Artist,0,2
118,Female,51,84000,43,,2,7
119,Female,50,87000,57,Artist,1,2
120,Male,27,36000,56,Executive,0,3
121,Female,38,50000,40,Executive,1,4
122,Female,40,97000,58,Engineer,9,4
123,Male,39,6000,91,Healthcare,1,3
124,Female,23,12000,29,Entertainment,9,2
125,Female,31,46000,77,Marketing,1,2
126,Male,43,89000,35,Engineer,0,7
127,Male,40,4000,95,Artist,0,2
128,Male,59,38000,11,Engineer,0,2
129,Male,38,64000,75,Entertainment,8,5
130,Male,47,66000,9,Executive,9,5
131,Male,39,26000,75,Lawyer,0,2
132,Female,25,41000,34,Healthcare,6,4
133,Female,31,45000,71,Artist,5,1
134,Male,20,89000,5,Engineer,1,2
135,Female,29,92000,88,Executive,5,5
136,Female,44,76000,7,Artist,5,2
137,Male,32,85000,73,Artist,3,4
138,Male,19,22000,10,Marketing,8,4
139,Female,35,15000,72,Artist,4,4
140,Female,57,32000,5,Engineer,0,2
141,Male,32,66000,93,Artist,0,5
142,Female,28,62000,40,Doctor,5,3
143,Female,32,85000,87,Lawyer,1,2
144,Male,25,71000,12,Engineer,0,5
145,Male,28,26000,97,Marketing,8,5
146,Male,48,52000,36,Engineer,9,2
147,Female,32,38000,74,Lawyer,1,1
148,Female,34,51000,22,Healthcare,7,4
149,Male,34,90000,90,Artist,6,3
150,Male,43,30000,17,Lawyer,0,9
151,Male,39,41000,88,Engineer,0,1
152,Female,44,17000,20,Engineer,0,2
153,Female,38,92000,76,Artist,2,2
154,Female,47,80000,16,Healthcare,0,4
155,Female,27,10000,89,Marketing,8,4
156,Male,37,16000,1,Executive,1,1
157,Female,30,87000,78,Artist,3,4
158,Male,34,66000,1,Lawyer,1,2
159,Female,30,86000,73,Artist,3,3
160,Female,56,9000,35,Artist,1,1
161,Female,29,50000,83,Healthcare,1,5
162,Male,19,35000,5,Executive,0,5
163,Female,31,58000,93,Healthcare,1,5
164,Male,50,47000,26,Doctor,0,2
165,Female,36,54000,75,Artist,5,3
166,Male,42,79000,20,Homemaker,9,3
167,Female,33,83000,95,Artist,0,5
168,Female,36,57000,27,Artist,0,3
169,Male,32,0,63,Artist,2,2
170,Male,40,69000,13,Artist,3,5
171,Male,28,4000,75,Executive,0,2
172,Male,36,79000,10,Lawyer,0,2
173,Male,36,99000,92,Artist,5,2
174,Female,52,20000,13,Lawyer,0,2
175,Female,30,28000,86,Artist,3,4
176,Male,58,29000,15,Engineer,11,1
177,Male,27,45000,69,Healthcare,2,6
178,Male,59,86000,14,Healthcare,4,3
179,Male,35,42000,90,Engineer,8,1
180,Female,37,59000,32,Artist,7,2
181,Female,32,61000,86,Entertainment,7,5
182,Male,46,11000,15,Artist,7,1
183,Female,29,66000,88,Artist,4,4
184,Female,41,39000,39,Artist,1,1
185,Male,30,72000,97,Artist,6,2
186,Female,54,14000,24,Lawyer,1,2
187,Male,28,44000,68,Doctor,5,3
188,Female,41,76000,17,Engineer,8,2
189,Female,36,95000,85,Artist,4,2
190,Female,34,92000,23,Artist,5,3
191,Female,32,98000,69,Artist,8,2
192,Male,33,96000,8,Executive,9,2
